"index" "Country" "Year" "Avg.Length.Stay" "Business.Professional.Purpose" "Num.Bed.Places" "Num.Establishments" "Num.Rooms" "Occupancy.Rate.Beds" "Occupancy.Rate.Rooms" "Personal.Purpose" "Total.Arrivals"
1 "ALBANIA" "2010" NA 47 25110 NA 14328 NA NA 2370 2417
2 "ALBANIA" "2011" NA 43 24301 NA 12428 NA NA 2889 2932
3 "ALBANIA" "2012" NA 42 32004 NA 14652 NA NA 3472 3514
4 "ALBANIA" "2013" NA 50 29737 NA 14146 NA NA 3206 3256
5 "ALBANIA" "2014" NA 48 32879 NA 15081 NA NA 3624 3673
6 "ALBANIA" "2015" NA 42 29903 NA 12986 NA NA 4089 4131
7 "ALBANIA" "2016" NA 59 41376 NA 17692 NA NA 4677 4736
8 "ALBANIA" "2017" NA 69 NA NA NA NA NA 5050 5118
9 "ALBANIA" "2018" 2.43 87 69395 1021 30524 19.38 17.53 5840 5927
10 "ALBANIA" "2019" 2.58 101 77974 1126 33798 24.41 21.81 6305 6406
11 "ALGERIA" "2010" NA 278 92377 NA NA NA NA 377 655
12 "ALGERIA" "2011" NA 272 94021 NA NA NA NA 630 902
13 "ALGERIA" "2012" NA 280 96898 NA NA NA NA 702 982
14 "ALGERIA" "2013" NA 292 98804 NA NA NA NA 672 964
15 "ALGERIA" "2014" NA 329 99605 NA NA NA NA 612 940
16 "ALGERIA" "2015" 1.69 360 102244 1195 NA NA NA 723 1083
17 "ALGERIA" "2016" 1.68 380 107420 1231 NA NA NA 942 1323
18 "ALGERIA" "2017" 1.68 238 112264 1289 NA NA NA 1470 1708
19 "ALGERIA" "2018" 1.67 181 119155 1368 NA NA NA 1838 2019
20 "ALGERIA" "2019" 1.68 158 125676 1417 NA NA NA 1776 1934
21 "ANDORRA" "2010" 2.9 592 33788 258 12664 NA NA 7959 8551
22 "ANDORRA" "2011" 2.91 87 33446 253 12608 NA NA 7896 7983
23 "ANDORRA" "2012" 2.97 86 34271 249 12506 NA NA 7814 7900
24 "ANDORRA" "2013" 2.99 107 34062 243 12391 NA NA 7569 7676
25 "ANDORRA" "2014" 2.87 117 34019 241 12339 NA NA 7680 7797
26 "ANDORRA" "2015" 3.05 173 33613 239 12134 NA NA 7678 7850
27 "ANDORRA" "2016" 2.94 145 32963 235 11910 NA NA 7881 8025
28 "ANDORRA" "2017" 2.91 130 33099 235 11934 NA NA 8022 8152
29 "ANDORRA" "2018" 2.88 175 32903 239 11998 NA NA 8153 8328
30 "ANDORRA" "2019" 2.88 189 32296 230 11725 NA NA 8046 8235
31 "ARGENTINA" "2010" 2.38 494 578697 12662 226789 32.73 41.76 2203 2697
