index,Country,Year,avgLengthStay,businessPurpose,numBedPlaces,numEstablishments,numRooms,occupancyBeds,occupancyRooms,personalPurpose,totalArrivals
1,Albania,2010,,47,25110,,14328,,,2370,2417
2,Albania,2011,,43,24301,,12428,,,2889,2932
3,Albania,2012,,42,32004,,14652,,,3472,3514
4,Albania,2013,,50,29737,,14146,,,3206,3256
5,Albania,2014,,48,32879,,15081,,,3624,3673
6,Albania,2015,,42,29903,,12986,,,4089,4131
7,Albania,2016,,59,41376,,17692,,,4677,4736
8,Albania,2017,,69,60816,,,,,5050,5118
9,Albania,2018,2.43,87,69395,1021,30524,19.38,17.53,5840,5927
10,Albania,2019,2.58,101,77974,1126,33798,24.41,21.81,6305,6406
11,Algeria,2010,,278,92377,,,,,377,655
12,Algeria,2011,,272,94021,,,,,630,902
13,Algeria,2012,,280,96898,,,,,702,982
14,Algeria,2013,,292,98804,,,,,672,964
15,Algeria,2014,,329,99605,,,,,612,940
16,Algeria,2015,1.69,360,102244,1195,,,,723,1083
17,Algeria,2016,1.68,380,107420,1231,,,,942,1323
18,Algeria,2017,1.68,238,112264,1289,,,,1470,1708
19,Algeria,2018,1.67,181,119155,1368,,,,1838,2019
20,Algeria,2019,1.68,158,125676,1417,,,,1776,1934
21,Andorra,2010,2.9,592,33788,258,12664,,,7959,8551
22,Andorra,2011,2.91,87,33446,253,12608,,,7896,7983
23,Andorra,2012,2.97,86,34271,249,12506,,,7814,7900
24,Andorra,2013,2.99,107,34062,243,12391,,,7569,7676
25,Andorra,2014,2.87,117,34019,241,12339,,,7680,7797
26,Andorra,2015,3.05,173,33613,239,12134,,,7678,7850
27,Andorra,2016,2.94,145,32963,235,11910,,,7881,8025
28,Andorra,2017,2.91,130,33099,235,11934,,,8022,8152
29,Andorra,2018,2.88,175,32903,239,11998,,,8153,8328
30,Andorra,2019,2.88,189,32296,230,11725,,,8046,8235
31,Argentina,2010,2.38,494,578697,12662,226789,32.73,41.76,2203,2697
32,Argentina,2011,2.35,509,603473,13398,233520,34.03,43.37,2243,2752
33,Argentina,2012,2.37,450,611439,13526,236641,32.3,41.04,2173,2623
34,Argentina,2013,2.36,476,667608,14907,252671,32.34,41.55,1957,2433
35,Argentina,2014,2.4,511,683454,15591,258129,33.46,42.64,2010,2521
36,Argentina,2015,2.39,525,691272,15754,261004,33.51,42.77,1827,2352
37,Argentina,2016,2.37,477,688059,15195,259453,32.68,42.01,1837,2315
38,Argentina,2017,2.3,560,703207,15615,264741,34.55,44.14,1873,2432
39,Argentina,2018,2.35,662,711101,15717,268199,35.04,44.81,2017,2680
40,Argentina,2019,2.33,588,724841,15934,271577,35.4,45.18,2332,2920
41,Australia,2010,2.3,1360,640454,4279,227320,41.4,66.3,4431,5791
42,Australia,2011,2.3,1420,636002,4216,226557,41.8,67.3,4351,5771
43,Australia,2012,2.3,1455,631351,4233,227168,38,63.1,4577,6032
44,Australia,2013,2.2,1443,632257,4237,230064,37.7,62,5038,6482
45,Australia,2014,,1486,635130,4204,229646,37.6,61.5,5435,6922
46,Australia,2015,,1580,678361,4464,248573,38.6,62.4,5870,7449
47,Australia,2016,,1599,676638,4445,249131,39.4,63.9,6670,8269
48,Australia,2017,,1744,789893,5189,274953,75.2,75.2,7072,8815
49,Australia,2018,,1806,800092,5256,284680,76,76,7440,9246
50,Australia,2019,,1842,858089,5637,296452,73.8,73.8,7624,9466
51,Austria,2010,3.6,,589293,13461,290287,30.3,30.3,,
52,Austria,2011,3.64,,594357,13359,290509,31,31,,
53,Austria,2012,3.62,,594841,13203,292165,31.6,31.6,,
54,Austria,2013,3.6,,601483,13073,293702,31.9,31.9,,
55,Austria,2014,3.52,,598742,12839,291753,31.5,31.5,,
56,Austria,2015,3.43,,600342,12625,291974,32.25,32.25,,
57,Austria,2016,3.4,,601945,12366,291497,33.28,33.28,,
58,Austria,2017,3.35,,609393,12153,291046,33.89,33.89,,
59,Austria,2018,3.34,,615541,12003,292458,35.57,35.57,,
60,Austria,2019,3.31,,607010,11823,290878,36.53,36.53,,
