country,Arrival_Regions,year,numArrivals
Andorra,Europe,2012,"2,202"
Andorra,Europe,2013,"2,283"
Andorra,Europe,2014,"2,330"
Andorra,Europe,2015,"2,597"
Andorra,Europe,2016,"2,741"
Andorra,Europe,2017,"2,922"
Andorra,Europe,2018,"2,959"
Andorra,Europe,2019,"3,006"
Andorra,Other not classified,2012,36
Andorra,Other not classified,2013,45
Andorra,Other not classified,2014,33
Andorra,Other not classified,2015,67
Andorra,Other not classified,2016,78
Andorra,Other not classified,2017,81
Andorra,Other not classified,2018,83
Andorra,Other not classified,2019,84
Austria,Africa,2010,45
Austria,Africa,2011,52
Austria,Africa,2012,58
Austria,Africa,2013,61
Austria,Africa,2014,63
Austria,Africa,2015,72
Austria,Africa,2016,78
Austria,Africa,2017,77
Austria,Africa,2018,82
Austria,Africa,2019,80
Austria,Americas,2010,708
Austria,Americas,2011,743
Austria,Americas,2012,806
Austria,Americas,2013,860
Austria,Americas,2014,919
Austria,Americas,2015,"1,020"
Austria,Americas,2016,"1,013"
Austria,Americas,2017,"1,085"
Austria,Americas,2018,"1,158"
Austria,Americas,2019,"1,209"
Austria,East Asia and the Pacific,2010,741
Austria,East Asia and the Pacific,2011,915
Austria,East Asia and the Pacific,2012,"1,105"
Austria,East Asia and the Pacific,2013,"1,227"
Austria,East Asia and the Pacific,2014,"1,381"
Austria,East Asia and the Pacific,2015,"1,740"
Austria,East Asia and the Pacific,2016,"1,733"
Austria,East Asia and the Pacific,2017,"2,047"
Austria,East Asia and the Pacific,2018,"2,188"
Austria,East Asia and the Pacific,2019,"2,314"
Austria,Europe,2010,"20,043"
Austria,Europe,2011,"20,819"
Austria,Europe,2012,"21,599"
Austria,Europe,2013,"22,043"
Austria,Europe,2014,"22,242"
Austria,Europe,2015,"23,051"
Austria,Europe,2016,"24,427"
Austria,Europe,2017,"25,362"
Austria,Europe,2018,"26,489"
Austria,Europe,2019,"27,356"
Austria,Middle East,2010,120
Austria,Middle East,2011,160
Austria,Middle East,2012,218
Austria,Middle East,2013,268
Austria,Middle East,2014,303
Austria,Middle East,2015,419
Austria,Middle East,2016,382
Austria,Middle East,2017,384
Austria,Middle East,2018,393
Austria,Middle East,2019,384
Austria,South Asia,2010,60
Austria,South Asia,2011,84
Austria,South Asia,2012,89
Austria,South Asia,2013,88
Austria,South Asia,2014,84
Austria,South Asia,2015,118
Austria,South Asia,2016,147
Austria,South Asia,2017,178
Austria,South Asia,2018,193
Austria,South Asia,2019,193
Austria,Other not classified,2010,287
Austria,Other not classified,2011,239
Austria,Other not classified,2012,276
Austria,Other not classified,2013,265
Austria,Other not classified,2014,300
Austria,Other not classified,2015,307
Austria,Other not classified,2016,341
Austria,Other not classified,2017,328
Austria,Other not classified,2018,313
Austria,Other not classified,2019,347
Belgium,Africa,2010,61
Belgium,Africa,2011,62
Belgium,Africa,2012,61
Belgium,Africa,2013,64
Belgium,Africa,2014,66
