country,Arrival_Regions,year,numArrivals
Andorra,Europe,2012,2202.0
Andorra,Europe,2013,2283.0
Andorra,Europe,2014,2330.0
Andorra,Europe,2015,2597.0
Andorra,Europe,2016,2741.0
Andorra,Europe,2017,2922.0
Andorra,Europe,2018,2959.0
Andorra,Europe,2019,3006.0
Andorra,Others,2012,36.0
Andorra,Others,2013,45.0
Andorra,Others,2014,33.0
Andorra,Others,2015,67.0
Andorra,Others,2016,78.0
Andorra,Others,2017,81.0
Andorra,Others,2018,83.0
Andorra,Others,2019,84.0
Austria,Africa,2010,45.0
Austria,Africa,2011,52.0
Austria,Africa,2012,58.0
Austria,Africa,2013,61.0
Austria,Africa,2014,63.0
Austria,Africa,2015,72.0
Austria,Africa,2016,78.0
Austria,Africa,2017,77.0
Austria,Africa,2018,82.0
Austria,Africa,2019,80.0
Austria,Americas,2010,708.0
Austria,Americas,2011,743.0
Austria,Americas,2012,806.0
Austria,Americas,2013,860.0
Austria,Americas,2014,919.0
Austria,Americas,2015,1020.0
Austria,Americas,2016,1013.0
Austria,Americas,2017,1085.0
Austria,Americas,2018,1158.0
Austria,Americas,2019,1209.0
Austria,East Asia/Pacific,2010,741.0
Austria,East Asia/Pacific,2011,915.0
Austria,East Asia/Pacific,2012,1105.0
Austria,East Asia/Pacific,2013,1227.0
Austria,East Asia/Pacific,2014,1381.0
Austria,East Asia/Pacific,2015,1740.0
Austria,East Asia/Pacific,2016,1733.0
Austria,East Asia/Pacific,2017,2047.0
Austria,East Asia/Pacific,2018,2188.0
Austria,East Asia/Pacific,2019,2314.0
Austria,Europe,2010,20043.0
Austria,Europe,2011,20819.0
Austria,Europe,2012,21599.0
Austria,Europe,2013,22043.0
Austria,Europe,2014,22242.0
Austria,Europe,2015,23051.0
Austria,Europe,2016,24427.0
Austria,Europe,2017,25362.0
Austria,Europe,2018,26489.0
Austria,Europe,2019,27356.0
Austria,Middle East,2010,120.0
Austria,Middle East,2011,160.0
Austria,Middle East,2012,218.0
Austria,Middle East,2013,268.0
Austria,Middle East,2014,303.0
Austria,Middle East,2015,419.0
Austria,Middle East,2016,382.0
Austria,Middle East,2017,384.0
Austria,Middle East,2018,393.0
Austria,Middle East,2019,384.0
Austria,South Asia,2010,60.0
Austria,South Asia,2011,84.0
Austria,South Asia,2012,89.0
Austria,South Asia,2013,88.0
Austria,South Asia,2014,84.0
Austria,South Asia,2015,118.0
Austria,South Asia,2016,147.0
Austria,South Asia,2017,178.0
Austria,South Asia,2018,193.0
Austria,South Asia,2019,193.0
Austria,Others,2010,287.0
Austria,Others,2011,239.0
Austria,Others,2012,276.0
Austria,Others,2013,265.0
Austria,Others,2014,300.0
Austria,Others,2015,307.0
Austria,Others,2016,341.0
Austria,Others,2017,328.0
Austria,Others,2018,313.0
Austria,Others,2019,347.0
Belgium,Africa,2010,61.0
Belgium,Africa,2011,62.0
Belgium,Africa,2012,61.0
Belgium,Africa,2013,64.0
Belgium,Africa,2014,66.0
Belgium,Africa,2015,65.0
Belgium,Africa,2016,64.0
Belgium,Africa,2017,70.0
Belgium,Africa,2018,75.0
Belgium,Africa,2019,75.0
Belgium,Americas,2010,429.0
Belgium,Americas,2011,489.0
Belgium,Americas,2012,505.0
Belgium,Americas,2013,517.0
Belgium,Americas,2014,566.0
Belgium,Americas,2015,603.0
Belgium,Americas,2016,493.0
Belgium,Americas,2017,621.0
Belgium,Americas,2018,704.0
Belgium,Americas,2019,742.0
Belgium,East Asia/Pacific,2010,256.0
Belgium,East Asia/Pacific,2011,307.0
Belgium,East Asia/Pacific,2012,367.0
Belgium,East Asia/Pacific,2013,398.0
Belgium,East Asia/Pacific,2014,437.0
Belgium,East Asia/Pacific,2015,498.0
Belgium,East Asia/Pacific,2016,343.0
Belgium,East Asia/Pacific,2017,429.0
Belgium,East Asia/Pacific,2018,487.0
Belgium,East Asia/Pacific,2019,504.0
Belgium,Europe,2010,6310.0
Belgium,Europe,2011,6523.0
Belgium,Europe,2012,6508.0
Belgium,Europe,2013,6560.0
Belgium,Europe,2014,6658.0
Belgium,Europe,2015,7018.0
Belgium,Europe,2016,6400.0
Belgium,Europe,2017,6978.0
Belgium,Europe,2018,7527.0
Belgium,Europe,2019,7677.0
Belgium,Middle East,2010,26.0
Belgium,Middle East,2011,31.0
Belgium,Middle East,2012,36.0
Belgium,Middle East,2013,40.0
Belgium,Middle East,2014,48.0
Belgium,Middle East,2015,59.0
Belgium,Middle East,2016,45.0
Belgium,Middle East,2017,57.0
Belgium,Middle East,2018,73.0
Belgium,Middle East,2019,74.0
Belgium,South Asia,2010,52.0
Belgium,South Asia,2011,55.0
Belgium,South Asia,2012,53.0
Belgium,South Asia,2013,56.0
Belgium,South Asia,2014,67.0
Belgium,South Asia,2015,78.0
Belgium,South Asia,2016,62.0
Belgium,South Asia,2017,67.0
Belgium,South Asia,2018,77.0
Belgium,South Asia,2019,70.0
Belgium,Others,2010,52.0
Belgium,Others,2011,27.0
Belgium,Others,2012,31.0
Belgium,Others,2013,49.0
Belgium,Others,2014,45.0
Belgium,Others,2015,34.0
Belgium,Others,2016,74.0
Belgium,Others,2017,163.0
Belgium,Others,2018,177.0
Belgium,Others,2019,201.0
Brazil,Africa,2010,84.0
Brazil,Africa,2011,86.0
Brazil,Africa,2012,92.0
Brazil,Africa,2013,95.0
Brazil,Africa,2014,128.0
Brazil,Africa,2015,108.0
Brazil,Africa,2016,78.0
Brazil,Africa,2017,68.0
Brazil,Africa,2018,63.0
Brazil,Africa,2019,68.0
Brazil,Americas,2010,3196.0
Brazil,Americas,2011,3402.0
Brazil,Americas,2012,3582.0
Brazil,Americas,2013,3726.0
Brazil,Americas,2014,4041.0
Brazil,Americas,2015,4209.0
Brazil,Americas,2016,4488.0
Brazil,Americas,2017,4768.0
Brazil,Americas,2018,4786.0
Brazil,Americas,2019,4392.0
Brazil,East Asia/Pacific,2010,210.0
Brazil,East Asia/Pacific,2011,261.0
Brazil,East Asia/Pacific,2012,294.0
Brazil,East Asia/Pacific,2013,299.0
Brazil,East Asia/Pacific,2014,344.0
Brazil,East Asia/Pacific,2015,279.0
Brazil,East Asia/Pacific,2016,299.0
Brazil,East Asia/Pacific,2017,242.0
Brazil,East Asia/Pacific,2018,250.0
Brazil,East Asia/Pacific,2019,296.0
Brazil,Europe,2010,1652.0
Brazil,Europe,2011,1663.0
Brazil,Europe,2012,1686.0
Brazil,Europe,2013,1670.0
Brazil,Europe,2014,1891.0
Brazil,Europe,2015,1667.0
Brazil,Europe,2016,1642.0
Brazil,Europe,2017,1481.0
Brazil,Europe,2018,1494.0
Brazil,Europe,2019,1570.0
Brazil,Middle East,2015,12.0
Brazil,Middle East,2016,10.0
Brazil,Middle East,2017,8.0
Brazil,Middle East,2018,7.0
Brazil,Middle East,2019,8.0
Brazil,South Asia,2010,19.0
Brazil,South Asia,2011,21.0
Brazil,South Asia,2012,22.0
Brazil,South Asia,2013,23.0
Brazil,South Asia,2014,26.0
Brazil,South Asia,2015,31.0
Brazil,South Asia,2016,30.0
Brazil,South Asia,2017,22.0
Brazil,South Asia,2018,21.0
Brazil,South Asia,2019,20.0
Canada,Africa,2010,81.0
Canada,Africa,2011,86.0
Canada,Africa,2012,92.0
Canada,Africa,2013,98.0
Canada,Africa,2014,104.0
Canada,Africa,2015,111.0
Canada,Africa,2016,124.0
Canada,Africa,2017,133.0
Canada,Africa,2018,143.0
Canada,Africa,2019,166.0
Canada,Americas,2010,12336.0
Canada,Americas,2011,12081.0
Canada,Americas,2012,12395.0
Canada,Americas,2013,12002.0
Canada,Americas,2014,12082.0
Canada,Americas,2015,13290.0
Canada,Americas,2016,14588.0
Canada,Americas,2017,15150.0
Canada,Americas,2018,15405.0
Canada,Americas,2019,16085.0
Canada,East Asia/Pacific,2010,1170.0
Canada,East Asia/Pacific,2011,1223.0
Canada,East Asia/Pacific,2012,1286.0
Canada,East Asia/Pacific,2013,1389.0
Canada,East Asia/Pacific,2014,1590.0
Canada,East Asia/Pacific,2015,1691.0
Canada,East Asia/Pacific,2016,1994.0
Canada,East Asia/Pacific,2017,2183.0
Canada,East Asia/Pacific,2018,2149.0
Canada,East Asia/Pacific,2019,2176.0
Canada,Europe,2010,2376.0
Canada,Europe,2011,2356.0
Canada,Europe,2012,2299.0
Canada,Europe,2013,2286.0
Canada,Europe,2014,2437.0
Canada,Europe,2015,2541.0
Canada,Europe,2016,2876.0
Canada,Europe,2017,2975.0
Canada,Europe,2018,2944.0
Canada,Europe,2019,3150.0
Canada,Middle East,2010,84.0
Canada,Middle East,2011,85.0
Canada,Middle East,2012,86.0
Canada,Middle East,2013,91.0
Canada,Middle East,2014,103.0
Canada,Middle East,2015,107.0
Canada,Middle East,2016,116.0
Canada,Middle East,2017,116.0
Canada,Middle East,2018,110.0
Canada,Middle East,2019,121.0
Canada,South Asia,2010,172.0
Canada,South Asia,2011,185.0
Canada,South Asia,2012,187.0
Canada,South Asia,2013,192.0
Canada,South Asia,2014,221.0
Canada,South Asia,2015,239.0
Canada,South Asia,2016,274.0
Canada,South Asia,2017,327.0
Canada,South Asia,2018,381.0
Canada,South Asia,2019,447.0
Canada,Others,2018,1.0
Canada,Others,2019,1.0
China,Africa,2010,391.0
China,Africa,2011,424.0
China,Africa,2012,440.0
China,Africa,2013,461.0
China,Africa,2014,497.0
China,Africa,2015,488.0
China,Africa,2016,502.0
China,Africa,2017,542.0
China,Africa,2018,585.0
China,Africa,2019,599.0
China,Americas,2010,2995.0
China,Americas,2011,3201.0
China,Americas,2012,3179.0
China,Americas,2013,3124.0
China,Americas,2014,3107.0
China,Americas,2015,3115.0
China,Americas,2016,3379.0
China,Americas,2017,3540.0
China,Americas,2018,3787.0
China,Americas,2019,3645.0
China,East Asia/Pacific,2010,122889.0
China,East Asia/Pacific,2011,123828.0
China,East Asia/Pacific,2012,120802.0
China,East Asia/Pacific,2013,117744.0
China,East Asia/Pacific,2014,117276.0
China,East Asia/Pacific,2015,123308.0
China,East Asia/Pacific,2016,130357.0
China,East Asia/Pacific,2017,141127.0
China,East Asia/Pacific,2018,146013.0
China,East Asia/Pacific,2019,149698.0
China,Europe,2010,6366.0
China,Europe,2011,6772.0
China,Europe,2012,6770.0
China,Europe,2013,6422.0
China,Europe,2014,6209.0
China,Europe,2015,5475.0
China,Europe,2016,5988.0
China,Europe,2017,6402.0
China,Europe,2018,6531.0
China,Europe,2019,6854.0
China,Middle East,2010,247.0
China,Middle East,2011,239.0
China,Middle East,2012,264.0
China,Middle East,2013,269.0
China,Middle East,2014,278.0
China,Middle East,2015,267.0
China,Middle East,2016,253.0
China,Middle East,2017,255.0
China,Middle East,2018,252.0
China,Middle East,2019,258.0
China,South Asia,2010,871.0
China,South Asia,2011,957.0
China,South Asia,2012,948.0
China,South Asia,2013,1055.0
China,South Asia,2014,1125.0
China,South Asia,2015,1164.0
China,South Asia,2016,1296.0
China,South Asia,2017,1391.0
China,South Asia,2018,1280.0
China,South Asia,2019,1481.0
China,Others,2010,2.0
China,Others,2011,2.0
China,Others,2012,2.0
China,Others,2013,2.0
China,Others,2014,7.0
China,Others,2015,3.0
