,Country Name,Country Code,Year,Number of Arrivals,Outbound Visitor Expenditure (current US$),Number of Departures,Inbound Visitor Expenditures (current US$)
0,Albania,ALB,2010,2417000.0,1452000000.0,3443000.0,1778000000.0
1,Andorra,AND,2010,8551000.0,,,
3,Argentina,ARG,2010,6800000.0,6448000000.0,6083000.0,5605000000.0
4,Australia,AUS,2010,5790000.0,27851000000.0,7103000.0,31064000000.0
5,Austria,AUT,2010,22004000.0,,9882000.0,
6,Azerbaijan,AZE,2010,1963000.0,856000000.0,3176000.0,792000000.0
7,Belgium,BEL,2010,7186000.0,20884000000.0,8801000.0,12680000000.0
8,Bulgaria,BGR,2010,8374000.0,975000000.0,3676000.0,3807000000.0
9,Bahrain,BHR,2010,11952000.0,684000000.0,,2163000000.0
10,Bahamas,BHS,2010,5255000.0,369000000.0,,2159000000.0
11,Belarus,BLR,2010,5674000.0,748000000.0,7464000.0,665000000.0
12,Brazil,BRA,2010,5161000.0,18883000000.0,6457000.0,5522000000.0
13,Canada,CAN,2010,25621000.0,37225000000.0,53620000.0,18440000000.0
14,Switzerland,CHE,2010,8628000.0,14332000000.0,15902000.0,17883000000.0
15,Chile,CHL,2010,3584000.0,1736000000.0,2737000.0,2362000000.0
16,China,CHN,2010,133762000.0,,57386000.0,
17,Côte d'Ivoire,CIV,2010,252000.0,569000000.0,,213000000.0
18,Colombia,COL,2010,1701000.0,3228000000.0,2342000.0,3473000000.0
19,Costa Rica,CRI,2010,2495000.0,629000000.0,662000.0,2426000000.0
20,Cuba,CUB,2010,2532000.0,,251000.0,2396000000.0
21,Cayman Is.,CYM,2010,1886000.0,129000000.0,,465000000.0
22,Cyprus,CYP,2010,2450000.0,1320000000.0,1246000.0,2137000000.0
23,Czechia,CZE,2010,21941000.0,4354000000.0,8673000.0,8068000000.0
24,Germany,DEU,2010,26875000.0,90866000000.0,85872000.0,49116000000.0
25,Denmark,DNK,2010,26730000.0,9082000000.0,7726000.0,5704000000.0
26,Dominican Rep.,DOM,2010,4478000.0,662000000.0,401000.0,4162000000.0
27,Algeria,DZA,2010,2070000.0,716000000.0,1757000.0,324000000.0
28,Ecuador,ECU,2010,1047000.0,863000000.0,899000.0,786000000.0
29,Egypt,EGY,2010,14731000.0,2696000000.0,4618000.0,13633000000.0
30,Spain,ESP,2010,93744000.0,,14254000.0,
31,Estonia,EST,2010,4369000.0,,955000.0,
32,Finland,FIN,2010,3670000.0,5268000000.0,7485000.0,4496000000.0
33,France,FRA,2010,189826000.0,46695000000.0,29973000.0,56178000000.0
34,United Kingdom,GBR,2010,30398000.0,,64647000.0,
35,Georgia,GEO,2010,2032000.0,329000000.0,2086000.0,737000000.0
36,Guatemala,GTM,2010,1384000.0,843000000.0,694000.0,1053300048.82813
37,Hong Kong,HKG,2010,36030000.0,17357000000.0,84442000.0,27208000000.0
38,Honduras,HND,2010,1965000.0,406000000.0,1090000.0,626700012.207031
39,Croatia,HRV,2010,49006000.0,861000000.0,,8299000000.0
40,Hungary,HUN,2010,39904000.0,2897000000.0,16082000.0,6595000000.0
41,Indonesia,IDN,2010,7003000.0,8432000000.0,6235000.0,7618000000.0
42,India,IND,2010,5776000.0,,12988000.0,
43,Ireland,IRL,2010,7134000.0,7176000000.0,6917000.0,8185000000.0
44,"Iran, Islamic Rep.",IRN,2010,2938000.0,10570000000.0,,2631000000.0
45,Iceland,ISL,2010,559000.0,,299000.0,
46,Israel,ISR,2010,3444000.0,4683000000.0,4269000.0,5638000000.0
47,Italy,ITA,2010,73225000.0,,55304000.0,
48,Jamaica,JAM,2010,2832000.0,235000000.0,,2095000000.0
49,Jordan,JOR,2010,8078000.0,1736000000.0,2708000.0,4390000000.0
50,Japan,JPN,2010,8611000.0,39306000000.0,16637000.0,15356000000.0
51,Kazakhstan,KAZ,2010,4097000.0,1489000000.0,6019000.0,1236000000.0
52,Kyrgyzstan,KGZ,2010,1224000.0,275000000.0,1342000.0,212000000.0
53,Cambodia,KHM,2010,2508000.0,131000000.0,505000.0,1671000000.0
54,South Korea,KOR,2010,8798000.0,20788000000.0,12488000.0,14315000000.0
55,Kuwait,KWT,2010,5208000.0,7106000000.0,,574000000.0
56,Laos,LAO,2010,2513000.0,215000000.0,1686000.0,385000000.0
57,Lithuania,LTU,2010,4073000.0,,4311000.0,
58,Latvia,LVA,2010,5042000.0,,3332000.0,
59,Macao,MAC,2010,24965000.0,883000000.0,753000.0,22688000000.0
60,Morocco,MAR,2010,9752000.0,1879000000.0,2175000.0,8176000000.0
61,Mexico,MEX,2010,81953000.0,9001000000.0,91658000.0,12628000000.0
62,Malta,MLT,2010,1815000.0,,328000.0,
63,Myanmar,MMR,2010,792000.0,,,91000000.0
64,Montenegro,MNE,2010,1088000.0,72000000.0,,765000000.0
65,Malaysia,MYS,2010,24577000.0,9258000000.0,,19619000000.0
66,Netherlands,NLD,2010,10883000.0,,18368000.0,
67,Norway,NOR,2010,4767000.0,14658000000.0,7590000.0,5299000000.0
68,New Zealand,NZL,2010,2530000.0,3039000000.0,2026000.0,6523000000.0
69,Oman,OMN,2010,1500000.0,1243000000.0,2829000.0,1072000000.0
70,Panama,PAN,2010,1726000.0,575000000.0,392000.0,2621000000.0
71,Peru,PER,2010,2948000.0,1648000000.0,2058000.0,2475000000.0
72,Philippines,PHL,2010,3520000.0,5964000000.0,,3441000000.0
73,Poland,POL,2010,58340000.0,8888000000.0,42760000.0,9875000000.0
74,Puerto Rico,PRI,2010,4379000.0,1182000000.0,980000.0,3211000000.0
75,Portugal,PRT,2010,6756000.0,4692000000.0,,12984000000.0
76,Paraguay,PRY,2010,3171000.0,261000000.0,302000.0,243000000.0
77,Qatar,QAT,2010,1700000.0,,,
78,Romania,ROU,2010,7498000.0,1897000000.0,10905000.0,1631000000.0
79,Russia,RUS,2010,22281000.0,30169000000.0,39323000.0,13239000000.0
80,Saudi Arabia,SAU,2010,13025000.0,22076000000.0,18625000.0,7536000000.0
81,Singapore,SGP,2010,11642000.0,18700000000.0,7342000.0,14178000000.0
82,El Salvador,SLV,2010,1606000.0,280000000.0,1421000.0,646000000.0
83,Slovenia,SVN,2010,2049000.0,1642000000.0,5340000.0,2808000000.0
84,Sweden,SWE,2010,5183000.0,13973000000.0,,10674000000.0
85,Syrian Arab Republic,SYR,2010,10970000.0,1598000000.0,6259000.0,6308000000.0
86,Thailand,THA,2010,15936000.0,7155000000.0,5451000.0,23796000000.0
87,Tunisia,TUN,2010,7828000.0,611000000.0,2250000.0,3477000000.0
88,Turkiye,TUR,2010,32997000.0,5817000000.0,6557000.0,26318000000.0
89,Ukraine,UKR,2010,24114000.0,4134000000.0,17741000.0,4696000000.0
90,Uruguay,URY,2010,2708000.0,549000000.0,1027000.0,1669000000.0
91,United States of America,USA,2010,162275000.0,123831000000.0,121574000.0,161821000000.0
92,Uzbekistan,UZB,2010,975000.0,,1610000.0,
93,Virgin Islands (U.S.),VIR,2010,2531000.0,,,1223000000.0
94,Vietnam,VNM,2010,5050000.0,1470000000.0,,4450000000.0
95,South Africa,ZAF,2010,11303000.0,8139000000.0,,10309000000.0
96,Zimbabwe,ZWE,2010,2239000.0,203000000.0,650000.0,135000000.0
97,Albania,ALB,2011,2932000.0,1677000000.0,4120000.0,1833000000.0
98,Andorra,AND,2011,7983000.0,,,
100,Argentina,ARG,2011,6703000.0,7602000000.0,7676000.0,6058000000.0
101,Australia,AUS,2011,5771000.0,33967000000.0,7788000.0,34315000000.0
102,Austria,AUT,2011,23012000.0,,9874000.0,
103,Azerbaijan,AZE,2011,2239000.0,1778000000.0,3550000.0,1500000000.0
104,Belgium,BEL,2011,7494000.0,22836000000.0,9727000.0,14114000000.0
105,Bulgaria,BGR,2011,8713000.0,1063000000.0,3803000.0,4297000000.0
106,Bahrain,BHR,2011,6732000.0,899000000.0,,1766000000.0
107,Bahamas,BHS,2011,5588000.0,347000000.0,,2157000000.0
108,Belarus,BLR,2011,5877000.0,729000000.0,7542000.0,747000000.0
109,Brazil,BRA,2011,5433000.0,24608000000.0,7807000.0,6370000000.0
110,Canada,CAN,2011,25066000.0,41247000000.0,61909000.0,19994000000.0
111,Switzerland,CHE,2011,8534000.0,17538000000.0,18949000.0,20809000000.0
112,Chile,CHL,2011,3963000.0,2085000000.0,3220000.0,2723000000.0
113,China,CHN,2011,135423000.0,,70250000.0,
114,Côte d'Ivoire,CIV,2011,270000.0,580000000.0,,186000000.0
115,Colombia,COL,2011,2356000.0,3689000000.0,2522000.0,3841000000.0
116,Costa Rica,CRI,2011,2526000.0,620000000.0,717000.0,2646000000.0
117,Cuba,CUB,2011,2716000.0,,253000.0,2503000000.0
118,Cayman Is.,CYM,2011,1710000.0,145000000.0,,472000000.0
119,Cyprus,CYP,2011,2626000.0,1366000000.0,1209000.0,2603000000.0
120,Czechia,CZE,2011,22810000.0,4876000000.0,5279000.0,8930000000.0
121,Germany,DEU,2011,28374000.0,99909000000.0,84692000.0,53465000000.0
122,Denmark,DNK,2011,25811000.0,9840000000.0,7846000.0,6366000000.0
123,Dominican Rep.,DOM,2011,4654000.0,689000000.0,408000.0,4391000000.0
124,Algeria,DZA,2011,2395000.0,595000000.0,1715000.0,300000000.0
125,Ecuador,ECU,2011,1141000.0,917000000.0,1022000.0,849000000.0
126,Egypt,EGY,2011,9845000.0,2575000000.0,4863000.0,9333000000.0
127,Spain,ESP,2011,99187000.0,,15944000.0,
128,Estonia,EST,2011,4907000.0,,1054000.0,
129,Finland,FIN,2011,4192000.0,6013000000.0,8238000.0,5615000000.0
130,France,FRA,2011,196595000.0,55509000000.0,31153000.0,66133000000.0
131,United Kingdom,GBR,2011,31886000.0,,67493000.0,
132,Georgia,GEO,2011,2712000.0,384000000.0,2237000.0,1069000000.0
133,Guatemala,GTM,2011,1434000.0,883000000.0,718000.0,1077400024.41406
134,Hong Kong,HKG,2011,41921000.0,19022000000.0,84816000.0,33169000000.0
135,Honduras,HND,2011,1852000.0,446000000.0,1092000.0,641500000.0
136,Croatia,HRV,2011,49969000.0,918000000.0,5526000.0,9598000000.0
137,Hungary,HUN,2011,41304000.0,3048000000.0,16634000.0,7239000000.0
138,Indonesia,IDN,2011,7650000.0,8653000000.0,6750000.0,9038000000.0
139,India,IND,2011,6309000.0,,13994000.0,
140,Ireland,IRL,2011,7630000.0,6842000000.0,6514000.0,9532000000.0
141,"Iran, Islamic Rep.",IRN,2011,3354000.0,10555000000.0,,2489000000.0
142,Iceland,ISL,2011,628000.0,,341000.0,
143,Israel,ISR,2011,3362000.0,4874000000.0,4387000.0,5886000000.0
